session_date,root_symbol,front_month_sym,front_month_id,back_month_sym,back_month_id,close_price,adjusted_close,back_close,spread,is_roll_day,cum_adjustment,gap,days_to_expiry,rc_trade_count,rc_volume,open_price,session_high,session_low,session_trade_count,session_volume,avg_spread_ticks,spread_volatility,overnight_range_pct,overnight_return,open_range_pct,spread_volume,buy_volume,sell_volume,flow_imbalance
2017-08-24,KE,KEZ7,516014,KEH8,454147,432.75,310.5,451.25,-18.5,false,-122.25,0.0,112,5865,17073,425.75,434.0,424.0,5865,17073,1.1495783825220391,0.40192953365873346,,,,2740,7651,6648,0.07014476536820757
2017-08-25,KE,KEZ7,516014,KEH8,454147,431.75,309.5,450.25,-18.5,false,-122.25,0.0,111,4884,13342,433.0,436.0,430.5,4884,13342,1.1200486448922864,0.35136431573946453,,,,1672,6162,5771,0.03276627838766446
2017-08-28,KE,KEZ7,516014,KEH8,454147,424.75,302.5,442.75,-18.0,false,-122.25,0.0,108,5580,16320,431.0,432.0,422.25,5580,16320,1.1901262722243338,0.4465639718890426,,,,2413,6537,7050,-0.03775667917862663
2017-08-29,KE,KEZ7,516014,KEH8,454147,426.25,304.0,444.5,-18.25,false,-122.25,0.0,107,5398,16491,424.5,426.75,420.0,5398,16491,1.1733375156838144,0.5183017125719899,,,,2060,8151,6406,0.11987360032973828
2017-08-30,KE,KEZ7,516014,KEH8,454147,428.75,306.5,447.25,-18.5,false,-122.25,0.0,106,4553,14443,425.5,430.75,425.25,4553,14443,1.1462138259458894,0.36619392970796627,,,,2000,5948,6287,-0.027707396812423377
2017-08-31,KE,KEZ7,516014,KEH8,454147,435.75,313.5,453.5,-17.75,false,-122.25,0.0,105,7333,22001,427.75,437.5,427.5,7333,22001,1.1475702715578846,0.40774867806238496,,,,3276,9300,8656,0.03586544887502784
2017-09-01,KE,KEZ7,516014,KEH8,454147,439.75,317.5,456.5,-16.75,false,-122.25,0.0,104,5311,15399,435.0,442.0,434.25,5311,15399,1.1741405700575023,0.4097968390765454,,,,2441,7172,6174,0.07477895998801139
2017-09-05,KE,KEZ7,516014,KEH8,454147,443.0,320.75,460.75,-17.75,false,-122.25,0.0,100,5457,14983,440.5,447.0,439.75,5457,14983,1.1482118528610354,0.45015725840888277,,,,1542,7114,6795,0.02293479042346682
2017-09-06,KE,KEZ7,516014,KEH8,454147,449.75,327.5,467.0,-17.25,false,-122.25,0.0,99,5006,13880,442.75,449.75,440.25,5006,13880,1.1824734898129394,0.4662707132721312,,,,1485,6222,5885,0.027835136697778144
2017-09-07,KE,KEZ7,516014,KEH8,454147,441.25,319.0,459.0,-17.75,false,-122.25,0.0,98,4976,12578,449.25,450.0,439.25,4976,12578,1.1750608082476066,0.4139697877738307,,,,1628,5094,6134,-0.09262557890986818
2017-09-08,KE,KEZ7,516014,KEH8,454147,440.75,318.5,458.75,-18.0,false,-122.25,0.0,97,4776,10438,441.5,445.75,440.0,4776,10438,1.2285707469523106,0.4458689750500489,,,,1632,5221,3958,0.1375966880923848
2017-09-11,KE,KEZ7,516014,KEH8,454147,434.75,312.5,452.25,-17.5,false,-122.25,0.0,94,4414,10954,441.0,442.75,433.25,4414,10954,1.1769434161819143,0.46238451068291336,,,,1323,4423,5173,-0.07815756565235515
2017-09-12,KE,KEZ7,516014,KEH8,454147,441.25,319.0,459.0,-17.75,false,-122.25,0.0,93,9253,22925,434.75,442.5,426.0,9253,22925,1.2469628379242437,0.7239747310241569,,,,3194,10194,8874,0.06922592825676527
2017-09-13,KE,KEZ7,516014,KEH8,454147,444.75,322.5,462.5,-17.75,false,-122.25,0.0,92,5957,14120,441.25,448.0,441.25,5957,14120,1.1784279214956996,0.41025552174957,,,,2202,6519,5478,0.08677169292323081
2017-09-14,KE,KEZ7,516014,KEH8,454147,442.5,320.25,459.5,-17.0,false,-122.25,0.0,91,5357,14283,444.75,451.75,440.5,5357,14283,1.2127963212558472,0.4591325705449719,,,,1831,6342,6316,0.002054036972665508
2017-09-15,KE,KEZ7,516014,KEH8,454147,444.75,322.5,462.25,-17.5,false,-122.25,0.0,90,3968,11424,442.5,447.5,440.5,3968,11424,1.157139440325281,0.3974586394970848,,,,1797,5002,4308,0.07454350161117078
